trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.2, 'e': 0.9361308642916188}",25,0,-205.59014489097197,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
67,False,"{'a': 0.2, 'e': 0.9351952013367766}",20,0,-92.78659644100047,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.9342604735772135}",30,0,-45.45553992768204,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.933326680078202}",25,0,-82.29504713869086,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-81.89533316609253,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
71,False,"{'a': 0.2, 'e': 0.9314618921275921}",20,0,4.593532519091534,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.9305308958112057}",20,0,-117.74097403728786,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
73,False,"{'a': 0.2, 'e': 0.9296008300257927}",20,0,-86.05742891152103,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.9286716938412872}",20,0,-58.835067349439385,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.9277434863285529}",20,0,-73.54476159834059,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.9268162065593822}",20,0,-177.8148211954269,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
77,False,"{'a': 0.2, 'e': 0.9258898536064953}",20,0,-115.10467637186233,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.9249644265435393}",20,0,-157.37662542360812,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
79,False,"{'a': 0.2, 'e': 0.9240399244450868}",20,0,-46.16718633151923,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.9231163463866358}",25,7,-25.062691217904383,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.922193691444608}",20,0,-174.97253159360423,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
